id,dur_in_sec,hour_start,hour_end,day_of_month,week,dist_gtfsstops_all,dist_gtfsstops_train,dist_gtfsstops_tram,dist_gtfsstops_bus,day
22271,8076.000000000001,11,13,29,5,114.28023365109344,1037.7200553713826,36763.95640260843,114.28023365109344,0
22272,1099.226001,17,18,24,21,164.38786118864726,380.40211523120354,1204.5842792483854,164.38786118864726,2
22273,628.0,14,14,14,2,9.898701272866537,9.898701272866537,78208.29198548174,51.725770850370246,6
22274,3961.248001,8,10,23,34,52.76056523727114,52.76056523727114,18308.700273718263,52.76056523727114,2
22275,22690.558999999997,6,12,29,26,69.02132028592521,933.4107198138487,323.0675355298865,69.02132028592521,3
22276,6553.996999999999,13,15,17,24,418115.67950582795,418115.67950582795,683950.3892145705,418115.67950582795,5
22277,7971.680998999999,17,20,27,26,346.1035755048585,346.1035755048585,16579.0161621765,346.1035755048585,1
22278,18013.315000000002,5,10,25,4,201.71303807916541,1922.8725918059304,49349.53138979331,201.71303807916541,2
22279,529.5839990000002,8,9,16,24,124.06341811724371,1837.3042484818955,32093.71537492951,124.06341811724371,4
22280,887.493,15,15,20,20,138.6017314858465,587.0956971675621,29093.75373362666,138.6017314858465,5
22281,1819.885,12,13,27,26,198.4218385050096,672.165768280238,48328.49068874003,198.4218385050096,1
22282,374.82599999999996,6,6,4,36,197.52566617820045,407.5565791247097,197.52566617820045,197.52566617820045,0
22283,27001.999000000003,16,23,20,51,148.71995492550397,1618.881067857576,24291.353163789703,148.71995492550397,1
22284,604.999,14,14,4,9,117.87472345186607,573.233792271278,10507.563882223962,117.87472345186607,5
22285,7936.6280000000015,5,8,14,24,189.62463445066382,402.89602797418513,240.06067423868214,189.62463445066382,2
22286,835.1089999999999,11,11,13,15,357176.28265396896,411082.499513069,586601.2008382496,357176.28265396896,3
22287,47028.519,15,4,10,36,33.68581312578868,1184.7524212027956,34368.04917962062,33.68581312578868,6
22288,391.596999,17,17,15,11,28.782131479444164,113.44693471851649,28.782131479444164,28.782131479444164,2
22289,330.461,15,15,18,50,94.17755599952343,94.17755599952343,6131.17901323009,364.5798899011383,6
22290,4139.2040000000015,7,8,7,36,300.8311728551325,3418.304784945355,36764.459636511965,300.8311728551325,3
22291,929.760999,8,8,2,1,357.57344541642163,516.2162668004556,8262.227782091613,357.57344541642163,0
22292,479.76099999999997,11,12,7,45,52.373775536273406,2511.5097498304403,74890.20210505482,52.373775536273406,1
22293,10191.21,10,13,25,21,217.0526068123973,1229.4734011132598,30196.97327010185,217.0526068123973,3
22294,15535.947000999999,11,15,27,9,90.23020948445641,1652.7502940825052,24442.50542898829,90.23020948445641,0
